date,produccion_tons,precio_productor_ton,rendimiento,superficie_cosechada,superficie_sembrada,precio_productor_kg,month,year,month_sin,month_cos
2012-11-01,4474.593866336219,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,11,2012,-0.5000000000000004,0.8660254037844384
2012-12-01,5018.167976362456,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,12,2012,-2.4492935982947064e-16,1.0
2013-01-01,12033.277346844603,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,1,2013,0.49999999999999994,0.8660254037844387
2013-02-01,8179.042132331925,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,2,2013,0.8660254037844386,0.5000000000000001
2013-03-01,9573.573882672736,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,3,2013,1.0,6.123233995736766e-17
2013-04-01,7787.720814879851,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,4,2013,0.8660254037844387,-0.49999999999999983
2013-05-01,7564.13113404854,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,5,2013,0.49999999999999994,-0.8660254037844387
2013-06-01,5133.262725538503,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,6,2013,1.2246467991473532e-16,-1.0
2013-07-01,3403.045928112946,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,7,2013,-0.4999999999999998,-0.8660254037844388
2013-08-01,3497.712852410512,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,8,2013,-0.8660254037844384,-0.5000000000000004
2013-09-01,5008.856682964744,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,9,2013,-1.0,-1.8369701987210297e-16
2013-10-01,8539.771684776722,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,10,2013,-0.8660254037844386,0.5000000000000001
2013-11-01,8201.24333934652,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,11,2013,-0.5000000000000004,0.8660254037844384
2013-12-01,8446.141476072386,9172.404485557818,9.470705929411714,8890.140000000001,13434.100000000002,9.172404485557818,12,2013,-2.4492935982947064e-16,1.0
2014-01-01,11376.146018074272,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,1,2014,0.49999999999999994,0.8660254037844387
2014-02-01,8010.6382125139025,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,2,2014,0.8660254037844386,0.5000000000000001
2014-03-01,9012.764770713111,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,3,2014,1.0,6.123233995736766e-17
2014-04-01,7605.528448816079,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,4,2014,0.8660254037844387,-0.49999999999999983
2014-05-01,6841.402799105185,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,5,2014,0.49999999999999994,-0.8660254037844387
2014-06-01,6200.471701672903,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,6,2014,1.2246467991473532e-16,-1.0
2014-07-01,4978.162499004615,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,7,2014,-0.4999999999999998,-0.8660254037844388
2014-08-01,5837.402894249668,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,8,2014,-0.8660254037844384,-0.5000000000000004
2014-09-01,9577.507743334376,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,9,2014,-1.0,-1.8369701987210297e-16
2014-10-01,11030.53154902105,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,10,2014,-0.8660254037844386,0.5000000000000001
2014-11-01,9679.309767745915,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,11,2014,-0.5000000000000004,0.8660254037844384
2014-12-01,10100.463595748917,14554.34536466068,8.837316138930248,10827.109999999999,14976.0,14.55434536466068,12,2014,-2.4492935982947064e-16,1.0
2015-01-01,12320.349088016084,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,1,2015,0.49999999999999994,0.8660254037844387
2015-02-01,8774.910561096556,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,2,2015,0.8660254037844386,0.5000000000000001
2015-03-01,9743.640585850524,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,3,2015,1.0,6.123233995736766e-17
