precio_promedio,temp_min_c,temp_avg_c,temp_max_c,importaciones_kg,precio_importacion_usd,year,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,precio_promedio_log,cosecha_tons_log,precio_promedio_boxcox,temp_avg_c_boxcox,temp_marcena,month_cos
62.996,16.7,23.7,30.8,50546761.0,3.823648759610927,2019.0,59.388,51.857,31.11,58.08033333333333,45.00966666666667,38.706583333333334,5.6834693923107595,4.158820581406466,0.0,1.2754143249092873,3212.193679758532,0.0,-0.8660254037844388
52.524,16.7,23.4,30.1,60913348.0,3.180332314027461,2019.0,62.996,59.388,51.857,58.302666666666674,48.16416666666667,40.46775,5.319695229365424,3.9801301514427423,0.0,1.2669393480547801,3102.464298345176,0.0,-0.5000000000000004
51.11,16.4,23.0,29.5,83512679.0,2.417897646416061,2019.0,52.524,62.996,59.388,55.54333333333333,51.4975,42.15541666666667,6.492805967633203,3.9533568689211234,0.0,1.2655689310762466,2959.9803342438327,0.0,-1.8369701987210297e-16
43.999,15.6,22.2,28.7,94414898.0,2.1432024318873912,2019.0,51.11,52.524,62.996,49.211000000000006,53.64566666666666,43.23075,4.568758803001112,3.8066402673011805,0.0,1.2575508531823933,2687.88863102206,0.0,0.5000000000000001
31.527,13.9,20.9,27.9,85872510.0,2.0207854644053143,2019.0,43.999,51.11,52.524,42.211999999999996,50.25733333333334,43.196333333333335,9.91304690798951,3.482070513668711,0.0,1.2363461073142814,2281.2738104452915,0.0,0.8660254037844384
30.557,9.9,18.3,26.7,92774995.0,2.0930563240666302,2019.0,31.527,43.999,51.11,35.361,45.45216666666667,42.9675,7.496433018442882,3.4517954344252466,0.0,1.2340924567217868,1592.4017868560688,0.0,1.0
30.557,9.3,17.8,26.2,116849670.0,2.355725583136007,2020.0,30.557,31.527,43.999,30.88033333333333,40.04566666666667,42.52766666666667,0.5600297611146244,3.4517954344252466,0.0,1.2340924567217868,1477.8339234057955,0.0,0.8660254037844387
30.557,10.8,19.5,28.2,80264358.0,2.885708535786208,2020.0,30.557,30.557,31.527,30.557,36.384499999999996,42.27433333333334,8.827977616149403e-07,3.4517954344252466,0.0,1.2340924567217868,1890.4695383228855,0.0,0.5000000000000001
30.292,13.0,22.4,31.7,77382160.0,3.085201266028242,2020.0,30.557,30.557,30.557,30.468666666666664,32.914833333333334,42.20616666666667,0.15299782133780623,3.4433624738228343,0.0,1.2334555571536268,2754.3210152120387,0.0,6.123233995736766e-17
29.63,13.5,23.2,32.8,71235493.0,2.624906308994029,2020.0,30.292,30.557,30.557,30.159666666666666,30.52,42.08283333333333,0.47745820061459404,3.421979920844684,0.0,1.2318224840012608,3030.6794863651844,1.0,-0.49999999999999983
29.63,14.2,23.5,32.8,79241622.0,2.441498320163108,2020.0,29.63,30.292,30.557,29.850666666666665,30.203833333333336,40.230583333333335,0.38220587820458307,3.421979920844684,0.0,1.2318224840012608,3138.766191997645,1.0,-0.8660254037844387
29.63,16.9,23.5,30.1,62600263.0,2.142491893364729,2020.0,29.63,29.63,30.292,29.63,30.049333333333333,37.75075,8.991018308157765e-07,3.421979920844684,0.0,1.2318224840012608,3138.766191997645,0.0,-0.8660254037844388
29.63,16.8,23.1,29.5,68309338.0,2.2031595153213166,2020.0,29.63,29.63,29.63,29.63,29.894833333333334,34.97025,8.991018308157765e-07,3.421979920844684,0.0,1.2318224840012608,2995.1946761698623,0.0,-0.5000000000000004
29.63,16.3,22.7,29.0,82041481.0,1.9724243154508632,2020.0,29.63,29.63,29.63,29.63,29.740333333333336,33.06241666666667,8.991018308157765e-07,3.421979920844684,0.0,1.2318224840012608,2855.9506403853256,0.0,-1.8369701987210297e-16
29.755,14.0,22.2,30.4,105206446.0,1.7148334047896647,2020.0,29.63,29.63,29.63,29.671666666666667,29.650833333333335,31.282833333333333,0.07216878365429362,3.4260525826603314,0.0,1.2321355503899172,2687.88863102206,0.0,0.5000000000000001
29.63,11.6,20.6,29.6,94111834.0,1.5551124101991254,2020.0,29.755,29.63,29.63,29.671666666666667,29.650833333333328,30.08541666666667,0.07216878365429362,3.421979920844684,0.0,1.2318224840012608,2193.5037946071366,0.0,0.8660254037844384
29.63,9.2,17.9,26.5,96833238.0,1.5635848199148312,2020.0,29.63,29.755,29.63,29.671666666666667,29.650833333333328,29.927333333333333,0.07216878365429362,3.421979920844684,0.0,1.2318224840012608,1500.3049124088086,0.0,1.0
29.63,7.9,17.5,27.1,131092340.0,1.7334434414703406,2021.0,29.63,29.63,29.755,29.63,29.650833333333328,29.850083333333334,8.991017912400049e-07,3.421979920844684,0.0,1.2318224840012608,1411.7329638961864,0.0,0.8660254037844387
27.055,9.4,19.3,29.2,96623843.0,1.9048479680113737,2021.0,29.63,29.63,29.63,28.771666666666665,29.221666666666664,29.55825,1.4866769431635685,3.334166869202935,0.0,1.2248345942400747,1838.4775329694287,0.0,0.5000000000000001
25.74,10.6,21.2,31.8,111293834.0,2.7623711750284388,2021.0,27.055,29.63,29.63,27.474999999999998,28.573333333333334,29.156833333333328,1.9787180193248588,3.286160571673797,0.0,1.2208154887922287,2371.2891149668476,0.0,6.123233995736766e-17
25.766,12.8,22.8,32.9,90804550.0,2.697643289901222,2021.0,25.74,27.055,29.63,26.186999999999998,27.9085,28.779666666666667,0.7518224524453514,3.2871324253741827,0.0,1.2208982947608271,2890.359264738594,1.0,-0.49999999999999983
33.295,15.0,23.9,32.9,85793140.0,2.46835567505747,2021.0,25.766,25.74,27.055,28.266999999999996,28.519333333333332,29.085083333333333,4.354395135951821,3.534999570951285,0.0,1.2401653431338946,3286.7257279619676,1.0,-0.8660254037844387
46.058,17.2,23.6,29.9,78610161.0,2.354978550419201,2021.0,33.295,25.766,25.74,35.03966666666667,31.257333333333335,30.454083333333333,10.257885373376615,3.8513808834585843,0.0,1.2600899959740475,3175.342337660788,1.0,-1.0
50.641,17.2,23.1,29.0,71073519.0,2.6970000036159743,2021.0,46.058,33.295,25.766,43.33133333333333,34.759166666666665,32.205000000000005,8.988713052118944,3.944315930624408,0.0,1.2650999174204296,2995.1946761698623,0.0,-0.8660254037844388
