date,market,product,price_avg,source
2023-04-15,Tamaulipas: Módulo de Abasto de Reynosa,aguacate_hass,72.5,SNIIM
2023-04-15,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",aguacate_hass,41.06,SNIIM
2023-04-15,Veracruz: Central de Abasto de Jalapa,aguacate_hass,43.01,SNIIM
2023-04-15,Veracruz: Central de Abasto de Minatitlán,aguacate_hass,46.68,SNIIM
2023-04-15,Veracruz: Mercado Malibrán,aguacate_hass,47.1,SNIIM
2023-04-15,Yucatán: Central de Abasto de Mérida,aguacate_hass,39.48,SNIIM
2023-04-15,Yucatán: Centro Mayorista Oxkutzcab,aguacate_hass,50.4,SNIIM
2023-04-15,"Yucatán: Mercado ""Casa del Pueblo""",aguacate_hass,50.4,SNIIM
2023-04-15,Zacatecas: Mercado de Abasto de Zacatecas,aguacate_hass,38.22,SNIIM
2023-05-15,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,aguacate_hass,29.0,SNIIM
2023-05-15,"Baja California : Central de Abasto INDIA, Tijuana",aguacate_hass,48.87,SNIIM
2023-05-15,Baja California Sur: Unión de Comerciantes de La Paz,aguacate_hass,56.0,SNIIM
2023-05-15,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",aguacate_hass,34.74,SNIIM
2023-05-15,"Coahuila: Central de Abasto de La Laguna, Torreón",aguacate_hass,80.0,SNIIM
2023-05-15,Colima: Centros de distribución de Colima,aguacate_hass,56.4,SNIIM
2023-05-15,Chiapas: Central de Abasto de Tuxtla Gutiérrez,aguacate_hass,41.08,SNIIM
2023-05-15,Chihuahua: Mercado de Abasto de Cd. Juárez,aguacate_hass,41.44,SNIIM
2023-05-15,DF: Central de Abasto de Iztapalapa DF,aguacate_hass,48.46,SNIIM
2023-05-15,Durango: Centro de Distribución y Abasto de Gómez Palacio,aguacate_hass,50.11,SNIIM
2023-05-15,Guanajuato: Central de Abasto de León,aguacate_hass,47.16,SNIIM
2023-05-15,Guerrero: Central de Abastos de Acapulco,aguacate_hass,54.27,SNIIM
2023-05-15,Hidalgo: Central de Abasto de Pachuca,aguacate_hass,34.17,SNIIM
2023-05-15,Jalisco: Mercado de Abasto de Guadalajara,aguacate_hass,46.77,SNIIM
2023-05-15,Jalisco: Mercado Felipe Ángeles de Guadalajara,aguacate_hass,36.56,SNIIM
2023-05-15,México: Central de Abasto de Ecatepec,aguacate_hass,48.0,SNIIM
2023-05-15,México: Central de Abasto de Toluca,aguacate_hass,45.2,SNIIM
2023-05-15,Michoacán: Mercado de Abasto de Morelia,aguacate_hass,52.35,SNIIM
2023-05-15,Morelos: Central de Abasto de Cuautla,aguacate_hass,45.0,SNIIM
2023-05-15,"Morelos: Mercado ""Adolfo López Mateos"" de Cuernavaca",aguacate_hass,53.0,SNIIM
2023-05-15,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,aguacate_hass,52.41,SNIIM
2023-05-15,Nayarit: Nayarabastos de Tepic,aguacate_hass,51.71,SNIIM
2023-05-15,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",aguacate_hass,43.54,SNIIM
2023-05-15,Oaxaca: Módulo de Abasto de Oaxaca,aguacate_hass,34.15,SNIIM
2023-05-15,Puebla: Central de Abasto de Puebla,aguacate_hass,42.8,SNIIM
2023-05-15,Querétaro: Mercado de Abasto de Querétaro,aguacate_hass,39.77,SNIIM
2023-05-15,"Quintana Roo: Mercado de Chetumal, Quintana Roo",aguacate_hass,68.87,SNIIM
2023-05-15,San Luis Potosí: Centro de Abasto de San Luis Potosí,aguacate_hass,36.64,SNIIM
2023-05-15,Sinaloa: Central de Abasto de Culiacán,aguacate_hass,52.67,SNIIM
2023-05-15,Sonora: Central de Abasto de Cd. Obregón,aguacate_hass,38.43,SNIIM
2023-05-15,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",aguacate_hass,48.47,SNIIM
2023-05-15,Tabasco: Central de Abasto de Villahermosa,aguacate_hass,41.1,SNIIM
2023-05-15,Tamaulipas: Módulo de Abasto de Reynosa,aguacate_hass,72.0,SNIIM
2023-05-15,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",aguacate_hass,43.71,SNIIM
2023-05-15,Veracruz: Central de Abasto de Jalapa,aguacate_hass,47.59,SNIIM
2023-05-15,Veracruz: Central de Abasto de Minatitlán,aguacate_hass,45.15,SNIIM
2023-05-15,Veracruz: Mercado Malibrán,aguacate_hass,46.59,SNIIM
2023-05-15,Yucatán: Central de Abasto de Mérida,aguacate_hass,39.59,SNIIM
2023-05-15,Yucatán: Centro Mayorista Oxkutzcab,aguacate_hass,52.0,SNIIM
2023-05-15,"Yucatán: Mercado ""Casa del Pueblo""",aguacate_hass,48.44,SNIIM
2023-05-15,Zacatecas: Mercado de Abasto de Zacatecas,aguacate_hass,39.0,SNIIM
2023-06-15,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,aguacate_hass,37.6,SNIIM
2023-06-15,"Baja California : Central de Abasto INDIA, Tijuana",aguacate_hass,45.33,SNIIM
2023-06-15,Baja California Sur: Unión de Comerciantes de La Paz,aguacate_hass,56.0,SNIIM
2023-06-15,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",aguacate_hass,35.54,SNIIM
2023-06-15,"Coahuila: Central de Abasto de La Laguna, Torreón",aguacate_hass,80.0,SNIIM
2023-06-15,Colima: Centros de distribución de Colima,aguacate_hass,58.5,SNIIM
2023-06-15,Chiapas: Central de Abasto de Tuxtla Gutiérrez,aguacate_hass,42.32,SNIIM
2023-06-15,Chihuahua: Mercado de Abasto de Cd. Juárez,aguacate_hass,49.36,SNIIM
2023-06-15,DF: Central de Abasto de Iztapalapa DF,aguacate_hass,54.11,SNIIM
